index,epoch,r@1,r@2,r@4,r@8,NMI,lr,scl_x,scl_p,sz_emb,seed,edition,torch version,batch,train_classes,eval_classes
13,6,0.4883524645509791,0.6188386225523295,0.7292370020256583,0.824274139095206,,10,3.0,3.0,64,0,0,1.1.0,128.0,"[0, 100]","[100, 200]"
13,7,0.4861580013504389,0.6063470627954085,0.7199527346387576,0.8106009453072248,,10,3.0,3.0,64,0,0,1.1.0,128.0,"[0, 100]","[100, 200]"
13,8,0.4978055367994598,0.6193450371370696,0.7265361242403782,0.8190411883862255,,10,3.0,3.0,64,0,0,1.1.0,128.0,"[0, 100]","[100, 200]"
13,9,0.488183659689399,0.6166441593517893,0.7280553679945982,0.8208980418636057,,10,3.0,3.0,64,0,0,1.1.0,128.0,"[0, 100]","[100, 200]"
18,0,0.4258946657663741,0.5509790681971639,0.6782579338284943,0.786968264686023,,1,1.0,1.0,64,1,0,1.1.0,128.0,"[0, 100]","[100, 200]"
18,1,0.4662390276839973,0.5921674544226874,0.7147197839297772,0.812288993923025,,1,1.0,1.0,64,1,0,1.1.0,128.0,"[0, 100]","[100, 200]"
18,2,0.4699527346387576,0.5975692099932478,0.7231600270087779,0.8165091154625254,,1,1.0,1.0,64,1,0,1.1.0,128.0,"[0, 100]","[100, 200]"
18,3,0.4756920999324781,0.6028021607022283,0.7218095881161377,0.8200540175557056,,1,1.0,1.0,64,1,0,1.1.0,128.0,"[0, 100]","[100, 200]"
18,4,0.4853139770425388,0.611580013504389,0.7261985145172181,0.8220796758946658,,1,1.0,1.0,64,1,0,1.1.0,128.0,"[0, 100]","[100, 200]"
18,5,0.4886900742741391,0.613099257258609,0.7348075624577988,0.8229237002025659,,1,1.0,1.0,64,1,0,1.1.0,128.0,"[0, 100]","[100, 200]"
18,6,0.486833220796759,0.6154625253207292,0.7241728561782579,0.8185347738014855,,1,1.0,1.0,64,1,0,1.1.0,128.0,"[0, 100]","[100, 200]"
18,7,0.50050641458474,0.6249155975692099,0.7326130992572586,0.8237677245104659,,1,1.0,1.0,64,1,0,1.1.0,128.0,"[0, 100]","[100, 200]"
18,8,0.4800810263335584,0.6168129642133694,0.7285617825793382,0.8205604321404456,,1,1.0,1.0,64,1,0,1.1.0,128.0,"[0, 100]","[100, 200]"
18,9,0.5016880486158002,0.6227211343686698,0.7307562457798784,0.8252869682646861,,1,1.0,1.0,64,1,0,1.1.0,128.0,"[0, 100]","[100, 200]"
18,10,0.4962862930452397,0.6196826468602296,0.7354827819041189,0.8232613099257259,,1,1.0,1.0,64,1,0,1.1.0,128.0,"[0, 100]","[100, 200]"
18,11,0.4888588791357191,0.6073598919648886,0.7299122214719784,0.8154962862930453,,1,1.0,1.0,64,1,0,1.1.0,128.0,"[0, 100]","[100, 200]"
18,12,0.4935854152599594,0.6191762322754896,0.7302498311951384,0.8203916272788656,,1,1.0,1.0,64,1,0,1.1.0,128.0,"[0, 100]","[100, 200]"
18,13,0.4858203916272789,0.613099257258609,0.7278865631330182,0.8158338960162053,,1,1.0,1.0,64,1,0,1.1.0,128.0,"[0, 100]","[100, 200]"
18,14,0.48784604996623904,0.613099257258609,0.7297434166103984,0.8205604321404456,,1,1.0,1.0,64,1,0,1.1.0,128.0,"[0, 100]","[100, 200]"
19,0,0.3365968939905469,0.4650573936529372,0.599594868332208,0.7349763673193788,,1,3.0,3.0,64,1,0,1.1.0,128.0,"[0, 100]","[100, 200]"
19,1,0.3683322079675895,0.4957798784604997,0.6299797434166104,0.7581026333558406,,1,3.0,3.0,64,1,0,1.1.0,128.0,"[0, 100]","[100, 200]"
19,2,0.3838622552329507,0.5151924375422012,0.6347062795408508,0.7533760972316003,,1,3.0,3.0,64,1,0,1.1.0,128.0,"[0, 100]","[100, 200]"
19,3,0.4042876434841323,0.5290344361917623,0.6524307900067522,0.7678933153274814,,1,3.0,3.0,64,1,0,1.1.0,128.0,"[0, 100]","[100, 200]"
19,4,0.4326468602295746,0.5575624577987845,0.6789331532748143,0.786799459824443,,1,3.0,3.0,64,1,0,1.1.0,128.0,"[0, 100]","[100, 200]"
19,5,0.4556043214044565,0.5813639432815665,0.7029034436191762,0.8079000675219447,,1,3.0,3.0,64,1,0,1.1.0,128.0,"[0, 100]","[100, 200]"
19,6,0.4844699527346388,0.6154625253207292,0.7300810263335584,0.8220796758946658,,1,3.0,3.0,64,1,0,1.1.0,128.0,"[0, 100]","[100, 200]"
19,7,0.4983119513841999,0.6235651586765699,0.7354827819041189,0.8328831870357867,,1,3.0,3.0,64,1,0,1.1.0,128.0,"[0, 100]","[100, 200]"
19,8,0.5033760972316003,0.6316677920324105,0.7508440243079001,0.8377785280216071,,1,3.0,3.0,64,1,0,1.1.0,128.0,"[0, 100]","[100, 200]"
19,9,0.5094530722484808,0.6330182309250506,0.7471303173531397,0.8401417960837272,,1,3.0,3.0,64,1,0,1.1.0,128.0,"[0, 100]","[100, 200]"
19,10,0.5165428764348413,0.636731937879811,0.7559081701553004,0.8450371370695476,,1,3.0,3.0,64,1,0,1.1.0,128.0,"[0, 100]","[100, 200]"
19,11,0.5185685347738015,0.6428089128966914,0.7577650236326806,0.8465563808237677,,1,3.0,3.0,64,1,0,1.1.0,128.0,"[0, 100]","[100, 200]"
19,12,0.5180621201890614,0.6466914247130318,0.7635043889264008,0.8511141120864281,,1,3.0,3.0,64,1,0,1.1.0,128.0,"[0, 100]","[100, 200]"
19,13,0.5168804861580013,0.6583389601620526,0.7650236326806212,0.8565158676569885,,1,3.0,3.0,64,1,0,1.1.0,128.0,"[0, 100]","[100, 200]"
19,14,0.5265023632680621,0.6510803511141121,0.762153950033761,0.8516205266711682,,1,3.0,3.0,64,1,0,1.1.0,128.0,"[0, 100]","[100, 200]"
21,0,0.4258946657663741,0.5521607022282242,0.6750506414584739,0.7839297771775827,,10,1.0,1.0,64,1,0,1.1.0,128.0,"[0, 100]","[100, 200]"
21,1,0.4483457123565159,0.5666779203241054,0.6937879810938555,0.800135043889264,,10,1.0,1.0,64,1,0,1.1.0,128.0,"[0, 100]","[100, 200]"
21,2,0.4459824442943957,0.5710668467251857,0.6920999324780553,0.7954085077650236,,10,1.0,1.0,64,1,0,1.1.0,128.0,"[0, 100]","[100, 200]"
21,3,0.4488521269412559,0.5700540175557056,0.6953072248480756,0.7960837272113437,,10,1.0,1.0,64,1,0,1.1.0,128.0,"[0, 100]","[100, 200]"
21,4,0.4424375422012154,0.5643146522619852,0.6880486158001351,0.8003038487508441,,10,1.0,1.0,64,1,0,1.1.0,128.0,"[0, 100]","[100, 200]"
21,5,0.4463200540175557,0.5708980418636057,0.6841661039837947,0.7908507765023632,,10,1.0,1.0,64,1,0,1.1.0,128.0,"[0, 100]","[100, 200]"
21,6,0.4409182984469953,0.5712356515867657,0.6885550303848751,0.7886563133018231,,10,1.0,1.0,64,1,0,1.1.0,128.0,"[0, 100]","[100, 200]"
21,7,0.4461512491559757,0.5776502363268062,0.6934503713706954,0.7930452397029034,,10,1.0,1.0,64,1,0,1.1.0,128.0,"[0, 100]","[100, 200]"
21,8,0.4351789331532748,0.5661715057393653,0.6831532748143146,0.7844361917623227,,10,1.0,1.0,64,1,0,1.1.0,128.0,"[0, 100]","[100, 200]"
21,9,0.4407494935854153,0.5675219446320054,0.6872045914922349,0.786968264686023,,10,1.0,1.0,64,1,0,1.1.0,128.0,"[0, 100]","[100, 200]"
21,10,0.449696151249156,0.5720796758946658,0.6829844699527347,0.787137069547603,,10,1.0,1.0,64,1,0,1.1.0,128.0,"[0, 100]","[100, 200]"
21,11,0.4388926401080352,0.5638082376772451,0.675557056043214,0.7808912896691425,,10,1.0,1.0,64,1,0,1.1.0,128.0,"[0, 100]","[100, 200]"
21,12,0.4449696151249156,0.562457798784605,0.6819716407832546,0.7918636056718433,,10,1.0,1.0,64,1,0,1.1.0,128.0,"[0, 100]","[100, 200]"
21,13,0.4439567859554355,0.5692099932478055,0.6816340310600946,0.787812288993923,,10,1.0,1.0,64,1,0,1.1.0,128.0,"[0, 100]","[100, 200]"
21,14,0.4429439567859553,0.5656650911546253,0.6828156650911547,0.7812288993923024,,10,1.0,1.0,64,1,0,1.1.0,128.0,"[0, 100]","[100, 200]"
22,0,0.337947332883187,0.4682646860229575,0.599257258609048,0.7336259284267387,,10,3.0,3.0,64,1,0,1.1.0,128.0,"[0, 100]","[100, 200]"
22,1,0.3691762322754895,0.5030384875084403,0.6316677920324105,0.7564145847400405,,10,3.0,3.0,64,1,0,1.1.0,128.0,"[0, 100]","[100, 200]"
22,2,0.38723835246455096,0.5158676569885212,0.6461850101282917,0.7574274139095206,,10,3.0,3.0,64,1,0,1.1.0,128.0,"[0, 100]","[100, 200]"
